Numeric	dd	is_triple	direction
160001<	2.9	true	前方系
160001o	2.5	true	前方系
12222o	3.2	true	後方系
12301<	2.9	true	後方系
12301o	2.6	true	後方系
12103<	2.9	true	後方系
12103o	2.6	true	後方系
12003<	2.4	true	前方系
12003o	2.1	true	前方系
12201<	2.4	true	前方系
12201o	2.1	true	前方系
12101<	2.3	true	後方系
12101o	2	true	後方系
12001<	2	true	前方系
12001o	1.7	true	前方系
12000<	2.1	true	後方系
12000o	1.8	true	後方系
844/	2.5	false	後方系
833/	2.1	false	後方系
825/	2.2	false	前方系
843/	2.2	false	前方系
833<	2.1	false	後方系
833o	1.9	false	後方系
815/	2.1	false	後方系
815<	2.1	false	後方系
815o	1.9	false	後方系
824/	2.1	false	後方系
823/	1.8	false	前方系
823o	1.6	false	前方系
814/	1.8	false	前方系
805<	1.8	false	前方系
805o	1.6	false	前方系
813<	1.7	false	後方系
813o	1.5	false	後方系
822/	1.7	false	後方系
822<	1.7	false	後方系
822o	1.5	false	後方系
831<	1.7	false	後方系
831/	1.7	false	後方系
831o	1.5	false	後方系
803<	1.5	false	前方系
803o	1.3	false	前方系
821/	1.5	false	前方系
821<	1.5	false	前方系
821o	1.3	false	前方系
811/	1.5	false	後方系
811<	1.5	false	後方系
811o	1.3	false	後方系
801<	1.3	false	前方系
801o	1.1	false	前方系
810/	1.3	false	前方系
810<	1.3	false	前方系
810o	1.1	false	前方系
820/	1.5	false	後方系
820<	1.5	false	後方系
820o	1.3	false	後方系
802/	1.5	false	後方系
802<	1.5	false	後方系
802o	1.3	false	後方系
800/	1.3	false	後方系
800<	1.3	false	後方系
800o	1.1	false	後方系
40/	0.6	false	後方系
40<	0.6	false	後方系
40o	0.5	false	後方系
.40/	0.6	false	前方系
.40<	0.6	false	前方系
.40o	0.5	false	前方系
41/	0.6	false	前方系
41<	0.6	false	前方系
41o	0.6	false	前方系
42	0.7	false	後方系
43	0.8	false	前方系
44	0.9	false	後方系
42/	0.7	false	後方系
43/	0.8	false	前方系
44/	0.9	false	後方系
30/	0.3	false	後方系
30<	0.3	false	後方系
30o	0.3	false	後方系
50/	0.7	false	後方系
50<	0.7	false	後方系
50o	0.6	false	後方系
.30/	0.3	false	前方系
.30<	0.3	false	前方系
.30o	0.3	false	前方系
700<	0.9	false	前方系
700o	0.8	false	前方系
53/	0.9	false	前方系
51/	0.7	false	前方系
51<	0.7	false	前方系
51o	0.7	false	前方系
v	0.1	false	基礎技
o	0.1	false	基礎技
<	0.1	false	基礎技
シート	0.1	false	基礎技
シーブル	0.1	false	基礎技
ハーフシート	0.1	false	基礎技
スタンド(s)	0.1	false	基礎技
ハーフスタンド(s)	0.1	false	基礎技
ハーフピルエット	0.1	false	基礎技
フルピルエット	0.1	false	基礎技
フロントドロップ	0.1	false	基礎技
ハーフフロント	0.1	false	基礎技
スタンド(f)	0.1	false	基礎技
ハーフスタンド(f)	0.1	false	基礎技
バックドロップ	0.1	false	基礎技
30o.	0.3	false	後方系
30<.	0.3	false	後方系
30/.	0.3	false	後方系
